Title,Senior Design,,,,
Revision,r0,,,,
Date,6/9/2018,,,,
Generated,6/9/2018 12:46,,,,
Company,,,,,
Comment 1,Theodore Cox,,,,
Comment 2,,,,,
Comment 3,,,,,
Comment 4,,,,,
Total Parts,164,,,,
Total Unique Parts,69,,,,
,,,,,
,,,,,
Ref,Qty,Value,Footprint,Datasheet,
C103 C109 C110 C202 C203 C302 C305 C501 C502 C602 C603 C102 C107 C206 C208 C606 C608 C207 C607 ,19,6.8,Capacitors_SMD:C_0805,810-C2012X6S1C685M2A ,ON 12V lines
,…,,,81-GRM21BR71A106MA3K ,On 5V lines
C104 C106 C108 C111 C201 C205 C301 C303 C304 C306 C601 C605 C901 C1001 C1101 C1103 C1104 ,17,0.1uF,Capacitors_SMD:C_0603,GRM188F51E104ZA01D,
C112 C113 ,2,20pF,Capacitors_SMD:C_0603,GRM0335C1E200GA01D,
C204 C604 ,2,8200pF,Capacitors_SMD:C_0402,C0402C822K5RACTU,
C1102 C1105 ,2,1uF,Capacitors_SMD:C_0603,C0603C105K9PAC,
D101 D102 D103 D104 D105 D106 D401 D1103 D1105 ,4,"LED, red",LEDs:LED_0603,150060RS75000,
…,3,"LED, yellow",LEDs:LED_0603,150060YS75000,
…,2,"LED, green",LEDs:LED_0603,150060GS75000,
D107 D201 D601 D1104 D501 D502 ,6,D_Schottky,seniorDesign:SOD-128,RSX301LAM30TR,
F501 F502 ,2,Polyfuse,Fuse_Holders_and_Fuses:Fuse_SMD1206_Reflow,PTS120615V050,
J101 ,1,BARREL_JACK,Connectors:Barrel_Jack_CUI_PJ-102AH,694106301002,
J501 J502 ,2,USB_A,Connectors:USB_A,SS-52100-001,
L201 L601 ,2,4.7uH,Inductors_SMD:L_Taiyo-Yuden_MD-5050,SRN5040-4R7M,
L301 ,1,3.3uH,Inductors_SMD:L_0805,KLZ2012MHR3R3HTD25,
Q301 ,1,MMBT4403,sot:SOT23,MMBT4403,
Q1101 Q1102 ,2,BSS138,TO_SOT_Packages_SMD:SOT-23,BSS138L,
R102 R103 R107 R108 R109 R110 R406 R1102 R1104 R1112 R1113 R101,12,500,Resistors_SMD:R_0805_HandSoldering,RR1220P-511-D,
R201 R601 R106 R701 R702 R703 R704 R1101 R305 R901 R1001 R1106 R1108 R1109 R1110 R1111 R405 R303 R304 ,19,10k,Resistors_SMD:R_0603,ESR03EZPJ103,
R202 R602 R1107 R104 R105 ,5,100k,Resistors_SMD:R_0603,CRCW0603100KFKEAC,
R203 R603 R1103 ,3,59k,Resistors_SMD:R_0603,CPF0603B59KE1,
R204 R604 ,2,10k_FB,Resistors_SMD:R_0603,APC0603B10K0N,
R205 R605 ,2,0.1_SHUNT,Resistors_SMD:R_1206,2-2176055-5,
R301 R302 R1105 ,3,100,Resistors_SMD:R_0805_HandSoldering,ESR10EZPJ101,
RV1101 ,1,"10K, POT",SparkFun-Electromechanical:TSR-3386U,COM-09806,
SW101 ,1,Serial Switch,Buttons_Switches_THT:SW_CuK_JS202011CQN_DPDT_Straight,JS202011SCQN,
SW102 SW1101 ,2,RESET,Buttons_Switches_THT:SW_PUSH_6mm,COM-00097 ,
U104 ,1,ATMEGA328PB-AU,Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm,ATMEGA328PB-AU,
U201 U601 ,2,TPS563210ADDFT,TO_SOT_Packages_SMD:SOT-23-8,TPS563210ADDFT,
U901 U1001 ,2,INA169,TO_SOT_Packages_SMD:SOT-23-5,INA169NA/3K,
U1101 ,1,LM358_IC,soic:SOIC8,LM358ADR,
U1102 ,1,LP2985-3.3,TO_SOT_Packages_SMD:SOT-23-5,LP2985-33DBVR,
Y101 ,1,16MHZ,Crystals:Crystal_HC49-U_Vertical,FOXSLF/160-20,
,,,,,
ignored components,,,,,
MH101 MH102 MH103 MH104 ,4,Mounting Hole,Mounting_Holes:MountingHole_3.2mm_M3_Pad,,
MH105 MH106 ,2,IR LIGHT BLOCKER MOUNT,Mounting_Holes:MountingHole_2.2mm_M2_Pad,,
J104 J105 J106 J110 J117 J118 ,6,GS3,Connectors:GS3,,
J123 J301 J302 J401 J402 J1102 J1103 ,7,GS2,Connectors:GS2,,
R802 R903 ,2,RL,Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P5.08mm_Vertical,,
C101 ,1,?uF,Capacitors_THT:CP_Radial_D8.0mm_P3.50mm,,
C114 ,1,?uF,Capacitors_THT:CP_Radial_D10.0mm_P5.00mm,,
C1102 C1105 ,2,1uF,Capacitors_SMD:C_0603,C0603C105K9PAC,
NOT ON MOUSER,,,,,
U301 ,1,HX711,soic:SOIC16,missing,
U401 ,1,MOUDLE-BLUETOOTH-HC-05(34P-27X13MM),Bluetooth:HC-05,"HC-05, SOIC-14",
D1101 ,1,IR204A,LEDs:LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm,,
D1102 ,1,D_Photo,LEDs:LED_D1.8mm_W1.8mm_H2.4mm_Horizontal_O3.81mm_Z4.9mm,,
J124 J109 ,1,"ext_Motion, ambientLight",Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,
J107 J119 J113 J108 ,4,"LoadCell_Conn, ext_5VPWR, Smraza2004_LCD, breakout",Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm,,
J112 ,1,Serial Monitor,Pin_Headers:Pin_Header_Straight_2x01_Pitch2.54mm,,
J102 ,1,touch(8pos) AT42QT1070 STANDALONE,Pin_Headers:Pin_Header_Straight_2x04_Pitch2.54mm,,
J103 ,1,ISP,Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm,,
U102 ,1,WS2812B,LEDs:LED_WS2812B-PLCC4,474-COM-13667 ,
U103 ,1,WS2812B_STRIP,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm,,
,,,,,
replaced components,,,,,
R303 ,1,20K,Resistors_SMD:R_0603,AC0603FR-0720KL,
R304 ,1,8.2K,Resistors_SMD:R_0603,CRCW06038K20FKEAC,
C206 C208 C606 C608 C207 C607 ,6,22uF,Capacitors_SMD:C_0805,LMK212BBJ226MG-T,
